ID Converged Psurf H2O O O2 O3 H2O2
43553 True 0.2054226543514482 228311015418.83847 2.2831E+11 9.9245E-03 1.0037E-02 1.001E-02 5.009E-03
51353 True 0.20694013520774085 228308543017.8663 2.2831E+11 1.0026E-02 9.9533E-03 1.000E-02 5.047E-03
95413 True 0.20683031379325156 228314172926.0964 2.2831E+11 9.9656E-03 9.9633E-03 1.005E-02 5.080E-03
13877 True 0.20520431735252237 228392274961.29446 2.2839E+11 9.8581E-03 1.0064E-02 1.005E-02 5.036E-03
56825 True 0.20456537286858337 228283932377.04803 2.2828E+11 9.9886E-03 1.0075E-02 1.001E-02 4.961E-03
82327 True 0.2069257078972758 228187306783.07025 2.2819E+11 1.0057E-02 9.9462E-03 9.979E-03 4.913E-03
22736 True 0.20681865207233036 228236136377.32977 2.2824E+11 1.0125E-02 9.9497E-03 9.989E-03 4.991E-03
52925 True 0.20222377841016426 228146759678.38385 2.2815E+11 1.0001E-02 1.0200E-02 1.001E-02 4.907E-03
63392 True 0.20607734267350516 228293501413.85074 2.2829E+11 1.0016E-02 9.9979E-03 9.988E-03 5.024E-03
6056 True 0.20401234658195178 228448585876.3165 2.2845E+11 9.6646E-03 1.0144E-02 1.007E-02 5.045E-03
73422 True 0.20495302279346464 228379881932.60867 2.2838E+11 1.0045E-02 1.0055E-02 9.953E-03 5.151E-03
99495 True 0.2056897516614995 228268659370.86264 2.2827E+11 9.9830E-03 1.0023E-02 9.988E-03 4.921E-03
726 True 0.2055973133367122 228224478546.75522 2.2822E+11 1.0018E-02 1.0019E-02 9.962E-03 4.960E-03
62966 True 0.2062379972589562 228211882409.94748 2.2821E+11 1.0120E-02 9.9787E-03 9.930E-03 4.899E-03
25668 True 0.2065493032875371 228309545639.02258 2.2831E+11 9.9770E-03 9.9775E-03 1.001E-02 4.992E-03
67227 True 0.2072121296055436 228233779856.9692 2.2823E+11 1.0118E-02 9.9294E-03 9.950E-03 5.024E-03
66696 True 0.20814018027466985 228159316618.19836 2.2816E+11 1.0690E-02 9.8396E-03 9.883E-03 5.026E-03
3797 True 0.2049530239456351 228381952236.3558 2.2838E+11 1.0047E-02 1.0058E-02 9.951E-03 5.155E-03
27770 True 0.2067370097799537 228288164059.11713 2.2829E+11 1.0038E-02 9.9622E-03 9.986E-03 5.038E-03
85775 True 0.20679019200977442 228230197388.78378 2.2823E+11 1.0029E-02 9.9571E-03 9.991E-03 4.941E-03
5255 True 0.20558892853101743 228344498877.8007 2.2834E+11 9.9637E-03 1.0032E-02 1.002E-02 5.026E-03
57475 True 0.20599699714630892 228233792660.90057 2.2823E+11 1.0067E-02 9.9959E-03 9.953E-03 4.908E-03
93399 True 0.20649036537438983 228252208052.8361 2.2825E+11 1.0221E-02 9.9606E-03 9.962E-03 5.016E-03
91206 True 0.20674954001133725 228386775326.84036 2.2839E+11 9.9373E-03 9.9731E-03 1.011E-02 4.971E-03
54611 True 0.20967011191879095 228186978815.8285 2.2819E+11 1.0238E-02 9.7934E-03 9.894E-03 5.083E-03
15363 True 0.20760962231148997 228223541837.95514 2.2822E+11 9.9517E-03 9.9193E-03 1.004E-02 4.941E-03
61268 True 0.20042742156400303 227876847317.67 2.2788E+11 1.0302E-02 1.0249E-02 9.961E-03 4.784E-03
38394 True 0.20320698732231024 228350358494.68658 2.2835E+11 9.9419E-03 1.0164E-02 1.003E-02 4.994E-03
13404 True 0.2062222383044524 228309685457.81754 2.2831E+11 9.9797E-03 9.9943E-03 1.001E-02 4.998E-03
60562 True 0.20568063373706572 228263876860.17645 2.2826E+11 9.9825E-03 1.0021E-02 9.988E-03 4.910E-03
21548 True 0.2043351299830419 228419960485.77255 2.2842E+11 9.8291E-03 1.0107E-02 1.002E-02 5.092E-03
6439 True 0.20462704590601288 228487366500.75436 2.2849E+11 9.9427E-03 1.0095E-02 1.004E-02 5.106E-03
34407 True 0.20650739493105286 228311672944.54715 2.2831E+11 9.9947E-03 9.9784E-03 1.001E-02 5.031E-03
54738 True 0.20638324630504712 228234773472.4846 2.2823E+11 1.0080E-02 9.9747E-03 9.972E-03 4.954E-03
37526 True 0.20765437007494655 228239035842.448 2.2824E+11 1.0426E-02 9.8864E-03 9.962E-03 5.007E-03
91619 True 0.20601552336913495 228252557669.89938 2.2825E+11 1.0013E-02 1.0004E-02 1.003E-02 5.039E-03
74460 True 0.20606739021183482 228211500684.87357 2.2821E+11 1.0032E-02 9.9935E-03 9.968E-03 4.944E-03
15563 True 0.20432707908077732 228361833061.12384 2.2836E+11 9.9404E-03 1.0104E-02 1.005E-02 4.987E-03
28229 True 0.20513849222605185 228353631108.19797 2.2835E+11 1.0032E-02 1.0049E-02 9.960E-03 5.097E-03
10389 True 0.20696478729632634 228167516452.35992 2.2817E+11 1.0060E-02 9.9430E-03 9.978E-03 4.889E-03
33760 True 0.2053112340966148 228342680011.68536 2.2834E+11 9.8856E-03 1.0048E-02 1.003E-02 5.076E-03
55723 True 0.20575527610305933 228200093569.69495 2.2820E+11 1.0025E-02 1.0012E-02 9.955E-03 4.947E-03
85416 True 0.20721265450040055 228344808704.03134 2.2834E+11 9.9727E-03 9.9436E-03 1.003E-02 5.055E-03
36454 True 0.2065497322319242 228279015174.89682 2.2828E+11 1.0029E-02 9.9722E-03 1.002E-02 5.043E-03
79066 True 0.20791397748243778 227949774211.03745 2.2795E+11 1.0289E-02 9.8683E-03 9.823E-03 4.702E-03
2622 True 0.21428748391267158 228457216716.00558 2.2846E+11 9.6649E-03 9.6659E-03 1.011E-02 5.032E-03
18219 True 0.2158829934378401 227919662457.68384 2.2792E+11 1.0501E-02 9.5252E-03 9.762E-03 5.063E-03
54700 True 0.2040520241715948 228488880596.87427 2.2849E+11 9.9566E-03 1.0116E-02 1.004E-02 5.110E-03
25929 True 0.20331850218115555 228446913953.82162 2.2845E+11 9.7776E-03 1.0166E-02 1.002E-02 5.105E-03
85996 True 0.2052349451355413 228366133538.7154 2.2837E+11 9.9679E-03 1.0055E-02 1.001E-02 5.050E-03
15735 True 0.2020156278701936 228331534835.4761 2.2833E+11 1.0151E-02 1.0214E-02 1.011E-02 4.923E-03
30126 True 0.20701485448442047 228277039888.51285 2.2828E+11 1.0069E-02 9.9447E-03 9.977E-03 5.031E-03
34842 True 0.20449040605883662 228198095419.7944 2.2820E+11 9.9905E-03 1.0084E-02 9.950E-03 4.793E-03
